oldLine ,newLine 
1,1
2,2
3,3
4,7
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
30,26
31,27
32,29
37,31
39,30
