oldLine ,newLine 
1,1
2,2
3,3
4,7
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,16
14,17
15,18
16,19
17,20
18,21
19,22
20,23
21,24
22,25
23,26
24,27
25,28
26,29
27,30
33,32
34,33
35,35
40,37
42,36
