oldLine ,newLine 
1,1
2,7
3,7
4,5
5,11
6,2
7,17
8,18
9,20
10,21
11,22
12,23
13,24
14,25
15,26
16,27
17,28
18,29
19,30
21,31
22,32
23,33
24,34
25,35
27,8
29,39
30,40
31,41
32,42
34,44
35,45
37,47
38,48
39,49
41,49
42,15
43,53
44,54
45,55
46,56
47,57
48,58
49,59
50,60
51,61
52,62
53,69
54,63
55,63
56,65
57,66
58,67
59,68
60,72
61,73
62,70
63,74
