oldLine ,newLine 
1,1
2,2
3,3
4,4
5,8
6,8
7,8
8,5
9,6
10,8
11,7
12,8
13,9
14,10
15,11
16,12
17,13
18,14
19,15
20,16
22,18
23,24
24,25
25,26
26,27
27,28
30,23
32,29
44,40
50,21
51,44
53,46
60,32
61,33
62,34
63,35
64,36
65,37
66,38
67,39
68,48
75,50
76,41
77,42
78,43
80,45
82,47
86,49
87,51
