oldLine ,newLine 
1,1
2,4
3,8
4,8
5,13
6,14
7,15
9,16
10,17
11,18
12,19
13,20
14,21
15,22
16,23
17,24
18,30
23,27
24,28
25,29
28,32
30,33
31,34
32,40
33,35
34,36
35,37
36,38
37,39
38,42
39,41
